phrase|label
The corpus callosum is in what part of the body \?|7
How do I log on to home page at Headquarters U S European Command \?|4
What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP|33
What is Nebraska 's most valuable resource \?|17
How many species of the Great White shark are there \?|38
What is the origin of head lice \?|3
What is the nickname for the state of Mississippi \?|36
What was the first domesticated bird \?|6
How many villi are found in the small intestine \?|38
What country did King Wenceslas rule \?|33
What is a fear of shadows \?|11
Who were the five Marx brothers \?|30
In which year was New Zealand excluded from the ANZUS alliance \?|39
When did CNN begin broadcasting \?|39
What causes the body to shiver in cold temperatures \?|5
What are bear and bull markets \?|2
What J R R Tolkien book features Bilbo Baggins as the central character \?|9
What is `` dew point '' \?|2
What is the meaning of Jesus \?|2
What company 's logo is a `` W '' in a circle \?|29
What is the definition of a cascade \?|2
When did Rococo painting and architecture flourish \?|39
What country 's national passenger rail system is called Via \?|33
Who invented Make up \?|30
What is the origin of the word `` attic '' \?|3
What did Delilah do to Samson 's hair \?|3
What kind of animals were in the Paleozoic era \?|6
Which of the following was Rhodes Scholar \?|30
Who comprised the now defunct comic book team known as the Champions \?|30
How do you make a paintball \?|4
What U S state is Fort Knox in \?|36
What is a female rabbit called \?|6
Where is the highest point in Japan \?|34
Where do chihuahuas come from \?|3
Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series \?|35
What are the world 's four oceans \?|35
What 's the only work by Michelangelo that bears his signature \?|9
What is the largest snake in the world \?|6
In what medium is Stuart Hamblen considered to be the first singing cowboy \?|9
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server \?|35
How much money does a back injury lawsuit get \?|41
What 's the common name for acetylsalicylic acid \?|25
What does the Georgetown `` Hoya '' mean \?|2
Where can I find a list of `` classic '' books 5th and 6th graders should read \?|35
Which two products use a tiger as their symbol \?|19
How is the election of a new Pope announced to the world \?|4
How long does it take for your blood to make one complete trip through the body \?|45
How do chickens have baby chicks \?|4
What is the historical relationship of Catholic Church and bingo \?|3
How was the element calcium named \?|4
What crooner joined The Andrews Sisters for Pistol Packin Mama \?|30
What piano company claims its product is the `` Instrument of the immortals '' \?|29
When did the Bounty mutiny take place \?|39
What novel inspired the movie BladeRunner \?|9
What is a transistor \?|2
What is a film starring Jude Law \?|9
What Hollywood dog died in the arms of Jean Harlow in 1932 \?|6
What are the most common elements in the Earth 's crust \?|22
How much would it cost to purchase a 2 foot square party tent , with sides , \?|41
What actress has received the most Oscar nominations \?|30
What are equity securities \?|2
What is gymnophobia \?|2
How many years do fossils take to form \?|38
Where is the Orinoco \?|35
What was the name of the `` Little Rascals '' dog \?|6
What city boasts Penn 's Landing , on the banks of the Delaware river \?|32
What Broadway musical was inspired by Cervantes 's Don Quixote \?|9
What is the origin of the word , JJ|3
How many hostages were killed in the Entebbe raid \?|38
How you can raise your IQ \?|4
What does INRI stand for when used on Jesus ' cross \?|1
Who produces Spumante \?|29
Who earns their money the hard way \?|30
Who founded the People 's Temple Commune \?|30
What athlete makes the most money from sports merchandise sales \?|30
How many bends are there in a standard paper clip \?|38
Who discovered electricity \?|30
What part of your body contains the corpus callosum \?|7
Who was the first American in space \?|30
What two South American countries do n't border Brazil \?|33
What album put The Beatles on the cover of Time in 1967 \?|9
What poem contains the line , `` grow old with me the best is yet to be ''|9
What is a dental root canal \?|2
What war did the Wanna Go Home Riots occur after \?|12
What is the busiest air travel season \?|39
What 's the colored part of the eye called \?|7
What are hook worms \?|2
Where is the Rose Bowl played \?|35
Which Japanese car maker had its biggest percentage of sale in the domestic market \?|29
Who is the mayor of Marbella \?|30
What sun blasted , 14 mile wide valley is just north of the Mojave desert \?|35
In what year did Thatcher become prime minister \?|39
How many months does it take the moon to revolve around the Earth \?|38
Where are the 49 steps \?|35
In what year was De Gaulle elected president of France \?|39
Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' \?|30
Who directed `` Jaws '' \?|30
On what T V show could Tom Terrific be found \?|9
What Indian tribe is F Troop perpetually doing battle with \?|29
Where did Indian Pudding come from \?|3
Why do some clothing labels say `` Use a nonchlorine bleach '' \?|5
How many colonies were involved in the American Revolution \?|38
What is the name of the city that Maurizio Pellegrin lives in \?|32
Where can I find pictorial directions on how to build a very simple treehouse \?|35
What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka \?|21
What is the name of the managing director of Apricot Computer \?|30
What is the occupation of Nicholas Cage \?|31
Why do horseshoes bring luck \?|5
What is the 401 , K , plan \?|2
What causes pneumonia \?|5
What are the three winter months in the southern hemisphere \?|39
What does gringo mean \?|2
What country contains Africa 's northernmost point \?|33
What therapy attempts to elicit the `` primal scream '' \?|11
Where is the Kalahari desert \?|35
Which Ventura County police department seized the largest cocaine shipment in it 's history \?|29
What city is sometimes called Gotham \?|32
What dangles over the tongue from the palate \?|7
Who created Dennis the Menace \?|30
What dummy received an honorary degree from Northwestern University \?|30
When was the first Wall Street Journal published \?|39
What countries have the largest areas of forest \?|33
How do I start a web based business \?|4
Name Alvin 's brothers|30
What is Eagle 's syndrome styloid process \?|2
How did Jayne Mansfield die \?|4
When did the royal wedding of Prince Andrew and Fergie take place \?|39
What actor said in A Day at the Races `` Either he 's dead or my watch has stopped '' \?|30
What explorer was nicknamed Iberia 's Pilot \?|30
CNN began broadcasting in what year \?|39
What is a ball that hits the foul pole called \?|25
What makes hamburgers taste like steakburgers \?|5
Which company created the Internet browser Mosaic \?|29
What are the rites accompanying the circumcision of a newly born child in Judaism called \?|12
What was the education system in the 1960 's \?|17
What South American city has the world 's highest commercial landing field \?|32
How can I find out which cities have cable modem access \?|4
What is Betsy Ross famous for \?|5
How many species of sharks are there \?|38
What is `` snoogans '' \?|2
How many people are there in the world \?|38
What shrubs can be planted that will be safe from deer \?|18
What organization 's offices were broken into at Watergate in 1972 \?|29
What is the design of the ship Titanic \?|3
What does S O S stand for \?|1
Name a technique widely used to detect birth defects \?|24
What is the daily requirement of folic acid for an expectant mother \?|3
What is the `` 7 minute cigarette '' \?|2
What four forms does gold occur in \?|17
What is the acreage of the Chappellet vineyard \?|48
How do you correctly say the word ` qigong ' \?|4
When did beethoven die \?|39
How much does a new railroad coal car cost \?|41
What two European countries entered the War of American Independence against the British \?|33
What is the filmmakers collabrative \?|2
What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune \?|30
What caused Harry Houdini 's death \?|5
Who was the mother of the man who would not be king , the duke of Windsor \?|30
How many revolutions does a standard LP make in three minutes \?|38
What is the name of the tallest mountain in the world \?|34
Where can I find a review of Nightmare on Elm Street in a film journal \?|35
What 's the slowest Olympic swimming stroke \?|24
What was the name of the first Russian astronaut to do a spacewalk \?|30
What disease is transmitted by the Anopheles mosquito \?|11
What rum is so `` mixable '' it is a one brand bar \?|13
How many South American countries have the letter Z in their names \?|38
What is the contents of proposition 98 \?|2
Where was George Washington born \?|35
How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD|38
Who wrote NN DT NNP NNP '' \?|30
What is paracetamol \?|2
What are the powers and weaknesses of Green Lantern 's ring \?|3
Which mosquito 's bite draws blood , DT NN CC DT NN|6
When was the first steel mill in the United States built \?|39
What diminutive American female gymnast stole the show at the 1984 Olympics \?|30
What is the origin of the name Katie \?|3
What schools in the Washington , DC NN NN VBP NN NN NN NN|29
When did the Berlin Wall go up \?|39
Who is Terrence Malick \?|28
What instrument is Ray Charles best known for playing \?|14
What 's the meaning of the Latin battle cry Ad arma , ad arma|2
What is the mascot for Notre Dame University \?|17
What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives \?|35
When did Mount St Helen last have a significant eruption \?|39
CNN is the abbreviation for what \?|1
When did World War I start \?|39
How many feet are there in a fathom \?|38
What is a Canada two penny black \?|2
What European city do Nicois live in \?|32
How can I find out what year a Beanie Baby was introduced \?|4
What is the classic definition of tragic hero \?|2
To what does Microsoft 's Windows 3 owe its success \?|17
Who was President of Afghanistan in 1994 \?|30
What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting \?|24
What did brontosauruses eat \?|13
What color bottles do good Rhine wines come in \?|8
Who was the lead actress in the movie ` Sleepless in Seattle ' \?|30
Who was the 16th President of the United States \?|30
Who are the two sons of Ozzie and Harriet Nelson \?|30
What is molybdenum \?|2
When is Boxing Day \?|39
What is the lowest level of the American judiciary \?|17
When was the battle of the Somme fought \?|39
How many people did Randy Craft kill \?|38
What 's the official animal of Canada \?|6
When did Spielberg direct `` Jaws '' \?|39
What is the size of the largest akita \?|48
What animal has the biggest eyes \?|6
What is California 's capital \?|32
Who was the author of the book about computer hackers called `` The Cuckoo 's Egg Tracking a Spy Through the Maze of Computer Espionage '' \?|30
Who was the founding member of the Pink Floyd band \?|30
What European country is home to the beer producing city of Budweis \?|33
How do I find the balance of my social security account \?|4
What is the history of Valentine 's Day cards \?|3
Where was Christopher Columbus born \?|35
What do Italians call Florence \?|25
How do you get to the top of the Eiffel Tower \?|4
What does ` PSI ' stand for \?|1
What sea did the Romans call mare nostrum \?|35
What 's the term for a bet before cards are dealt \?|25
Which came first , according to Genesis 1 2 22 the chicken or the egg \?|6
What city did the Flintstones live in \?|32
What is Latin for incompetent \?|25
What chemicals are used in lethal injection \?|11
What toy company is the world 's No 1 maker of female apparel \?|29
What board game does a `` wood pusher '' play poorly \?|21
Which Doonesbury character was likely to turn into a werewolf \?|30
What is the abbreviation for micro \?|0
What are the 7 articles of the constitution \?|17
Who has won the most Super Bowls \?|29
What does NASDAQ stand for \?|1
What is BPH \?|1
What is the fastest commercial automobile that can be bought in the US \?|17
What stadium do the Miami Dolphins play their home games in \?|35
Who has the only speaking role in `` Silent Movie '' \?|30
Why is poop sometimes different colors \?|5
What was Einstein 's IQ \?|43
What day was Pearl Harbor attacked in 1942 \?|39
What girl 's name is `` Teddy '' an affectionate form of \?|30
What state is John F Kennedy buried in \?|36
What is the best way to remove wallpaper \?|24
What U S state has an element named for it \?|36
What company tabulates the ballots in voting for the Academy Awards \?|29
How did the tradition of best man start \?|4
How many years ago did the ship Titanic sink \?|38
What is the deepest area of the Arctic Ocean \?|35
What are Halloween 's colors \?|8
How is silk screening done \?|4
What is the latitude and longitude of El Paso , Texas \?|43
Who made a boat out of gopher wood \?|30
Where can I find a `` Fifth Element '' screensaver \?|35
Which Bloom County resident wreaks havoc with a computer \?|30
How do you match a name to a social security number \?|4
How does a rainbow form \?|4
What is the normal resting heart rate of a healthy adult \?|43
What is the population of Ohio \?|43
How many calories are there in a Big Mac \?|38
Hazmat stands for what \?|2
What creature scares people in the film `` Jaws '' \?|6
What part did John Peter Zenger play in the deveopment of the newspaper in America \?|30
Who followed Caesar \?|30
What are the four elements \?|22
Who was the first woman golfer to earn a million \?|30
What 's the tallest piece on a chessboard \?|17
What is Answers com 's address \?|35
Where can I buy movies on videotape online \?|35
Who does the advertizing for Frito Lay \?|30
Who is the leading competitor of Trans Union Company \?|29
What product did Robert Conrad dare people to knock off his shoulder \?|19
Who invented the radio \?|30
What 's the American dollar equivalent for 8 pounds in the U K \?|38
What are the different approaches of systems analysis \?|24
How do doctors diagnose bone cancer \?|4
Who is the man behind the pig the man who pulls the strings and speaks for Miss Piggy \?|30
What is the speed of the Mississippi River \?|46
What are the developmental stages of a swimmer \?|17
What actor first portrayed James Bond \?|30
What ocean is the largest in the world \?|35
Who was the first American poet to win the Nobel Prize for literature , in 1948 \?|30
What year did Jack Nicklaus join the Professional Golfers Association tour \?|39
How many sonnets did Shakespeare write \?|38
What causes the redness in your cheeks when you blush \?|5
Who won the Nobel Peace Prize in 1991 \?|30
Who are the Challengers of the Unknown \?|29
Define the Pheonix Club \?|2
Which city did Christian Crusaders fight to recapture from the Muslims \?|32
What does it mean `` Rupee Depreciates '' \?|2
What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' \?|17
Who was the first coach of the Cleveland Browns \?|30
How successful is arometherapy \?|4
What Jewish holiday saw the start of the 1973 Mideast War \?|12
How does a copier work \?|4
Who said of Super Bowl III in 1969 `` We 'll win I guarantee it '' \?|30
What is Dudley Do Right 's horse 's name \?|6
Who declared `` I am down on whores and I shan 't stop ripping them '' \?|30
Where does chocolate come from \?|35
What TV game show once saw a contestant admit to picking his toes in the shower \?|9
What Soviet leader owned a Rolls Royce \?|30
Where can I find a case on Individuals with Disabilities Education Act of 1991 \?|35
What war did Florence Nightingale tend the troops in \?|12
Who wrote the song , `` Stardust '' \?|30
How many Beatles ' records went 1 \?|38
Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively \?|30
What is the abbreviation of the company name ` General Motors ' \?|0
What mountains lie between the Arkansas and Missouri rivers \?|34
Who received the Will Rogers Award in 1989 \?|30
What is the function of RAM \?|5
What 's the closest G2 Spectrum Yellow Dwarf to Earth \?|35
How many equal angles are there in an isosceles triangle \?|38
What is the fear of cockroaches called \?|11
What CBS soap opera was interrupted by the bulletin of John F Kennedy 's assassination \?|9
What is the use of a 24 hour clock instead of a 12 hour clock \?|3
What was the name of the lawyer who represented Randy Craft \?|30
What United States President had dreamed that he was assassinated \?|30
What film did Lee Marvin win the 1965 best actor Oscar for \?|9
Where is Basque country located \?|35
What product does `` Mrs Olsen '' promote \?|19
What time of day did Emperor Hirohito die \?|39
What is dry ice \?|2
What 's the most powerful card in Euchre \?|17
What does `` intractable plantar keratoma '' mean \?|2
How many years did it take James Joyce to write Ulysses \?|38
What crop failure caused the Irish Famine \?|13
What South Korean city is served by Kimpo International Airport \?|32
How many types of dogs ' tails are there three|38
What is the longest running television series \?|9
What predators exist on Antarctica \?|6
What is the difference between a generator and an alternator \?|3
How is energy created \?|4
What beer advertised that it had `` three rings '' \?|13
What is the quantity of American soldiers still unaccounted for from the Vietnam war \?|43
What golfing accessory was patented by George Grant on December 12|24
What are the different types of plastic \?|17
How is it correct to say ` qigong ' \?|4
What was the highest mountain on earth before Mount Everest was discovered \?|34
Where was the Ligurian Republic , 1797 185 , \?|35
What country 's people are the top television watchers \?|33
When was the women 's suffrage amendment ratified \?|39
What Polynesian people inhabit New Zealand \?|29
What movie tour of the Roman empire features the admonition `` Row well and live '' \?|9
What Nevada center has been dubbed The Biggest Little City in the World \?|32
What President lived at 219 North Delaware Street , Independence , Missouri \?|30
Give a reason for American Indians oftentimes dropping out of school|5
Where must a soccer goalie stand to be permitted to handle the ball \?|35
What is the difference between classical conditioning and operant conditioning \?|3
In what U S state was the first woman governor elected \?|36
What are some interesting facts and information about dogsledding \?|3
What year did Hitler die \?|39
What famous model was married to Billy Joel \?|30
What kind of animal is Babar \?|6
What is Jane Goodall known for \?|5
What killed Bob Marley \?|17
How much money are Dumbo 's ears insured for \?|41
Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich \?|30
Who is Stein Eriksen \?|28
What does the name Billie mean \?|2
Who is the fastest swimmer in the world \?|30
What is the highest peak in Africa \?|34
Where is Procter Gamble headquartered in the U S \?|35
What desert has been called The Garden of Allah \?|35
What do bicornate animals have two of \?|17
What function does a community 's water tower serve \?|5
What is a fear of weakness \?|11
How many miles is it to Ohio from North Carolina \?|38
How much snow equals an inch of rain \?|38
What does G M T stand for \?|1
What does Inuit and Eskimo mean \?|2
What song served as the closing theme of The Johnny Cash Show \?|9
What field sport did dentist William Beers promote and write a standard book of rules for \?|21
How do I tie dye clothes \?|4
When does the average teenager first have intercourse \?|39
Why doesn 't www answers com have any answers to my questions \?|5
What actor 's autobiography is titled All My Yesterdays \?|30
What Russian master spy lived in the U S under the name Emil Goldfus \?|30
Where 's the 19th hole on a golf course \?|35
What 's nature 's purpose for tornadoes \?|5
Who played the original Charlie 's Angels \?|30
Where can I find a person 's address from a telephone number \?|35
What English word comes from the Old French covrefeu , meaning cover fire \?|27
What musical instrument did Prewitt play in James Jones 's From Here to Eternity \?|14
Where did Sarge Steel get his metal hand \?|35
What makes popcorn pop \?|5
Who wrote The Night of the Iguana \?|30
Where does your hair grow the fastest \?|7
What country did King Gustav V reign over from 197 to 195 \?|33
Who painted Mother and Child \?|30
In what area of the world was the Six Day War fought \?|35
What is the brightest star visible from Earth \?|35
What film marked Robert Redford 's directorial debut \?|9
What was Mao 's second name \?|30
What film or films has Jude Law appeared in \?|9
Where do hyenas live \?|35
Who is the `` Queen Mother '' \?|28
What 's the most commonly spoken language in Belgium \?|15
Who has more DNA a man or a woman \?|30
What are Maid Rites \?|2
What children 's tale contains the line `` Come , Cinderslut , and hold this skein of wool for me '' \?|9
What level of government or governmental agency is responsible for dealing with racism \?|29
How many referees work a soccer game \?|38
What cocktail do you concoct with whisky and sweet vermouth \?|13
How do you say `` fresh '' in Spanish \?|25
What do bee hives do in cranberry bogs \?|3
What caused the Lynmouth floods \?|5
When is the Tulip Festival in Michigan \?|39
Who came up with the name , El Nino \?|30
What movie did Madilyn Kahn star in with Gene Wilder \?|9
What type of bridge is the Golden Gate Bridge \?|17
What dictator has the nickname `` El Maximo '' \?|30
What stereo manufacturer is `` Slightly ahead of its time '' \?|29
What U S city is The Queen of the Pacific \?|32
What TV sitcom character had the maiden name Ethel Potter \?|30
What was the first Lifesaver flavor \?|13
Who kept the most famous diary in the English language \?|30
Where can I find out the top 1 singles \?|35
How many degrees cooler is the inside of a cucumber than the air outside \?|38
What Spanish artist painted Crucifixion \?|30
What is the Jewish bible called \?|9
Why is the grass green \?|5
What is a firewall \?|2
What spy novelist served as Moscow correspondent for Reuter and The Times of London \?|30
Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name \?|29
How long does it take for Spider Man 's web to evaporate \?|45
Who was Randy Steven Craft 's lawyer \?|30
What was known as the Spice Island \?|35
Who was the first host of Person to Person \?|30
Name the Ranger who was always after Yogi Bear|30
What deck of cards includes the Wheel of Fortune , the Lovers , and Death \?|17
What does the Statue of Liberty wear on her feet \?|17
Who is the superstar in rent a cars \?|30
McCarren Airport is located in what city \?|32
What household facility contains a float ball , ballcock , and overflow tube \?|17
What was the name of Betty Boop 's dog \?|6
What fraction of a beaver 's life is spent swimming \?|44
What was the Bridge of San Luis Rey made of \?|22
What do economists do \?|3
What country has the largest sheep population \?|33
What do I need to do to take my dog with me to live in Dominica , West Indies for a year \?|3
What country is the world 's largest importer of cognac \?|33
How many years is Johnnie Walker Black Label aged \?|38
What does SIDS stand for \?|1
What is Grenada 's main commodity export \?|17
How much would a black and white 1 cent stamp be worth , Thomas Jefferson on it , \?|41
What makes a clitoris sensitive \?|5
What country has the most time zones , with 11 \?|33
What `` magic '' does Mandrake employ \?|17
Who is the president of Stanford University \?|30
Whose first presidential order was `` Let 's get this goddamn thing airborne '' \?|30
What was introduced commercially by Bayer A G of Leverkusen , in 1899 \?|17
What city is Logan Airport in \?|32
What is a nanometer \?|2
How many innings are there in a regulation softball game \?|38
When did CNN go on the air \?|39
What is the largest city on the Great Lakes \?|32
What is the telephone number for the University of Kentucky \?|37
Who invented baseball \?|30
How many wives did Brigham Young have \?|38
What product on the market is good for hiding facial scars \?|19
How long is the Coney Island boardwalk \?|40
What city gained renown for its pea soup fogs \?|32
What does `` Janelle '' mean \?|2
How do I get another city 's newspaper \?|4
Name a movie about the Sioux Indians starring Kevin Costner|9
Who was shot in the back during a Poker game in Deadwood , the Dakota territory \?|30
What are the distinct physical characterstics of the Arabian horse \?|3
What is a fear of thunder \?|11
What animal has killed the most people \?|6
How many colleges are in Wyoming \?|38
What Russian seaport has a name meaning `` Lord of the East '' \?|32
Where can stocks be traded on line \?|35
When was the Battle of Hastings \?|39
What kind of file has the extension dbf \?|17
When did Muhammad live \?|39
What then derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas \?|25
What is a wop \?|2
Where do rocks come from \?|3
How do I stop background noise in a car stereo \?|4
Where do people mountain climb in Nepal \?|34
What is the best college in the country \?|29
What is viscosity \?|2
What was the name of the sitcom that Alyssa Milano starred in with Tony Danza \?|9
What are the Nordic nations \?|33
Where on the Internet can I get information about the Fifth Amendment on the American Bill of Rights \?|35
What U S state borders Illinois to the north \?|36
Name a film in which Jude Law acted|9
What is the temperature for baking Peachy Oat Muffins \?|47
What is a fear of bees \?|11
What Vladimir Nabokov novel features Professor Humbert in love with a 12 year old girl \?|9
What is a green bog \?|2
Where did the myth of Santa Claus originate \?|35
What does a chairbound basophobic fear \?|17
What city is served by Logan International Airport \?|32
What wrestling star became `` The Incredible Hulk '' \?|30
What attracts tourists to Reims \?|35
What game do Steve McQueen and Edward G Robinson play in The Cincinnati Kid \?|21
What fastener did Whitcomb Judson patent in 1893 \?|17
What 's an auberge in France \?|2
Who was the star of the 1965 Broadway hit Golden Boy \?|30
Where is Procter Gamble based in the U S \?|35
What army was founded by William Booth and his wife Catherine \?|29
What does ribavirin consist of \?|22
Name the soft drink that is `` number one in the sun ''|13
What is the web address of the list of e mail addresses of members of the House of Representatives \?|35
What was her real name \?|30
Why are the ears your center of balance \?|5
Who invented the toothbrush \?|30
What was the name of that popular song the Creeps sang \?|9
Where is the Abominable Snowman said to wander \?|35
What is a fear of being alone \?|11
How many dots make up the symbol for `` because '' \?|38
What do you get by adding Lactobacillus bulgaricus to milk \?|13
When reading classified ads , what does EENTY other stand for \?|1
How many hearts does an octopus have \?|38
What plant has the largest seed \?|18
What was the only country you were allowed to drive into Israel from in 1979 \?|33
What 's approaching when a cyclist shouts `` Oil '' \?|17
What baseball star turned down a 1 , 000 a year contract because he felt he had n't earned it \?|30
What kind of sport is often associated with hooligans \?|21
What video game hero do some of his fans call Chomper \?|30
How many holes are there in a tenpin bowling ball \?|38
What is the longest word in the English language \?|27
In What city or state do the most gay men live in \?|35
What TV comediennes 's characters include former movie star Nora Desmond , secretary Mrs Wiggins and a housewife named Eunice \?|30
What is `` the bear of beers '' \?|6
Name the operating system that runs on IBM compatible machines|17
What does the name `` Justin '' mean \?|2
What percentage of the body is muscle \?|44
What color of dry wine should be served with veal roasts and chops \?|8
What is a golf ball made of \?|22
What is the Amish religion \?|2
What does an average daycare provider get paid in New England \?|41
What was the name of the 187s Irish terrorist group in Pennsylvania mining areas \?|29
Who played the Ringo Kid in the 1939 film Stagecoach \?|30
Who died 1 feet from where John F Kennedy did \?|30
What is the `` coppertop '' battery \?|2
What sign is The Water Carrier the zodiacal symbol for \?|23
What animals do you find in the stock market \?|6
What is color \?|2
When is the site www questions com going to open \?|39
What did Shostakovich write for Rostropovich \?|9
What first name was Nipsy Russell given at birth \?|30
How can I get some free technical information on Electric Vehicle \?|4
Who is the youngest of the Beatles \?|30
How did shipyard inspector James J Kilroy designate equipment as being satisfactory \?|4
What is a Jellicle Cat \?|2
Where can I find the best free evidence for debate about Russia \?|35
What is Bill Gates of Microsoft E mail address \?|35
What is the second hardest substance \?|22
Why did several San Diego schools stop serving apples to students \?|5
What Russian city boasts the Hermitage Museum \?|32
When is Bastille Day \?|39
What makes a tornado turn \?|5
How many shots can a stock M16 hold \?|38
What two colors are you blind to if you suffer from protanopia \?|8
Why do n't you guys have some sort of contest where you ask a question and whoever finds the answers wins a prize \?|5
Who is Coronado \?|28
What was the name of the movie that starred Sharon Stone and Arnold Schwarzenegger \?|9
What is artificial intelligence \?|2
What do flatfish eat \?|13
Who was the first Holy Roman Emperor \?|30
What can I use to remove the stubborn gummed labels from some diskettes \?|17
What day of the week sees the most fatal car accidents \?|39
What is the origin of the word , magic \?|3
What sport do you shag flies in \?|21
What is white chocolate \?|2
Where is Trinidad \?|35
Name the organization that is presided by a Security Council|29
Who graced the airwaves with such pearls as `` Do ya lo o ove me \? Get naked , baby ! '' \?|30
What kind of wine is Spumante \?|13
Who portrayed portly criminologist Carl Hyatt on Checkmate \?|30
How do you say I love you in Spanish \?|25
What does the name Gina mean \?|2
What is the most advanced handheld calculator in the world \?|19
How fast is light \?|46
What is the belt of low pressure around the equator called \?|25
What are shooting stars \?|2
Whom did the Chicago Bulls beat in the 1993 championship \?|29
When was the first American encyclopedia published \?|39
What 's the tallest building in New York City \?|35
How is Easter Sunday 's date determined \?|4
What is the Motto for the State of Maryland \?|3
Who is Desmond Tutu \?|28
Where can I find information on the Narragansett Indians and other tribes in Rhode Island \?|35
Name a tiger that is extinct|6
How many quarters equal a pound \?|38
What kind of books does Fodor 's publish \?|9
What are the first names of Rowan and Martin , the stars of TV 's Laugh In \?|30
What chapter of the Bible has the most verses \?|42
Who is the worst US President ever \?|30
What Asian leader was known as The Little Brown Saint \?|30
What is the abbreviated expression for the National Bureau of Investigation \?|0
How fast does the fastest car go \?|46
What is the highest mountain in the world \?|34
What arch can you see from the Place de la Concorde \?|35
Who sings the song `` Drink to me with thine eyes '' by Ben Johnson \?|30
How long should a person wash their hands before they are clean \?|45
Which way do you turn your Bic to increase the flame clockwise or counterclockwise \?|35
Which is the wealthiest country in the world \?|33
How can I find a phone number of someone if I only know their email address \?|4
How can you contact play producers and promoters on line \?|4
Who is the monarch of the United Kingdom \?|30
